seed,chunk_size,beta,gamma,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,dimension,num_phases,final_summary_size,final_lower_bound,avg_update_ms
42,4092,1.5,0.25,52.11988039999778,215424.0,35889.47671773815,0.6145453843869877,0.7618681220236445,0.7618681220236445,10000,10,12,2448,52.66300545379656,5.211988039999778
77,4092,1.5,0.25,65.11950500000239,214984.0,33174.46273112107,0.6224608309609415,0.756334054409562,0.756334054409562,10000,10,12,2443,52.66300545379656,6.511950500000239
211,4092,1.5,0.25,75.61947929999951,218680.0,33174.855148560135,0.619577394172084,0.7554862641229979,0.7554862641229979,10000,10,12,2485,52.66300545379656,7.561947929999951
42,4092,1.5,0.5,99.30231620000268,211200.0,33172.2990074894,0.6240859111122995,0.75728191010817,0.75728191010817,10000,10,12,2400,52.66300545379656,9.930231620000267
77,4092,1.5,0.5,93.06111830000009,209000.0,33172.871647499596,0.6215284107814074,0.7562528538474004,0.7562528538474004,10000,10,12,2375,52.66300545379656,9.30611183000001
211,4092,1.5,0.5,76.86354299999948,210232.0,33171.53537999658,0.623969715180925,0.7572764077731817,0.7572764077731817,10000,10,12,2389,52.66300545379656,7.686354299999948
42,4092,1.5,1.0,85.12426509999932,304392.0,33170.90595827855,0.6241275025470148,0.7573240589383554,0.7573240589383554,10000,10,11,3459,35.10867030253104,8.512426509999932
77,4092,1.5,1.0,86.35813789999884,298760.0,33169.90028501263,0.6236316184763774,0.7570911862140923,0.7570911862140923,10000,10,11,3395,35.10867030253104,8.635813789999883
211,4092,1.5,1.0,88.78190969999923,300168.0,33169.94567478102,0.6226480323174777,0.75666423822311,0.75666423822311,10000,10,11,3411,35.10867030253104,8.878190969999924
42,4092,3.0,0.25,86.52738549999776,185064.0,33174.32586554454,0.6253843801522794,0.7580463028164496,0.7580463028164496,10000,10,6,2103,73.97382384730818,8.652738549999777
77,4092,3.0,0.25,49.9926947999993,186296.0,33175.77517386906,0.6233746129976324,0.7571146067344966,0.7571146067344966,10000,10,6,2117,73.97382384730818,4.9992694799999295
211,4092,3.0,0.25,49.181841099998564,192104.0,33170.79748641691,0.6227537155169977,0.7567296611973521,0.7567296611973521,10000,10,6,2183,73.97382384730818,4.9181841099998564
42,4092,3.0,0.5,43.23671939999622,430848.0,33168.626513525924,0.6235186262010649,0.7570626104391978,0.7570626104391978,10000,10,5,4896,24.65794128243606,4.323671939999622
77,4092,3.0,0.5,59.85771660000319,426712.0,33171.529003849646,0.6261446851250141,0.7583245500888143,0.7583245500888143,10000,10,5,4849,24.65794128243606,5.985771660000319
211,4092,3.0,0.5,49.46450509999704,429176.0,33170.461000092706,0.6246553706931243,0.757667105150222,0.757667105150222,10000,10,5,4877,24.65794128243606,4.946450509999704
42,4092,3.0,1.0,64.52719679999427,431904.0,33172.43134683015,0.6237539963829963,0.756934883423038,0.756934883423038,10000,10,5,4908,24.65794128243606,6.4527196799994275
77,4092,3.0,1.0,52.898286999996344,429440.0,33170.7554195292,0.6201464953420925,0.7559286176389504,0.7559286176389504,10000,10,5,4880,24.65794128243606,5.289828699999634
211,4092,3.0,1.0,45.02087539999775,428384.0,33169.655803984766,0.6234211399140712,0.7570030134170724,0.7570030134170724,10000,10,5,4868,24.65794128243606,4.502087539999775
42,4092,5.0,0.25,57.94644110000081,457600.0,33173.84850210331,0.6253951006744816,0.7577970264441566,0.7577970264441566,10000,10,4,5200,22.831427113366725,5.794644110000081
77,4092,5.0,0.25,59.458409899998514,459536.0,33173.79943412115,0.6190866890712221,0.7554476706291263,0.7554476706291263,10000,10,4,5222,22.831427113366725,5.9458409899998514
211,4092,5.0,0.25,64.56228160000319,454608.0,33170.882497445986,0.6189356094467287,0.7553300841390547,0.7553300841390547,10000,10,4,5166,22.831427113366725,6.456228160000319
42,4092,5.0,0.5,53.03939040000114,459448.0,33171.77324513691,0.6199778240873115,0.7553287212610851,0.7553287212610851,10000,10,4,5221,22.831427113366725,5.303939040000114
77,4092,5.0,0.5,53.59785659999761,458304.0,33168.15985808495,0.624262970068048,0.7571720594814295,0.7571720594814295,10000,10,4,5208,22.831427113366725,5.359785659999761
211,4092,5.0,0.5,68.66692180000246,454344.0,33169.3328480035,0.623133864695437,0.7568953899373146,0.7568953899373146,10000,10,4,5163,22.831427113366725,6.866692180000245
42,4092,5.0,1.0,81.7352189000012,459008.0,33169.85591182042,0.6243421716863194,0.7572447853766837,0.7572447853766837,10000,10,4,5216,22.831427113366725,8.17352189000012
77,4092,5.0,1.0,67.23844079999981,460240.0,33167.204779577114,0.6231066377118261,0.756646821171919,0.756646821171919,10000,10,4,5230,22.831427113366725,6.723844079999981
211,4092,5.0,1.0,68.13013349999528,456544.0,33170.61647445193,0.6197602223993294,0.7557581301460803,0.7557581301460803,10000,10,4,5188,22.831427113366725,6.813013349999528
