seed,charikar_cost_sse,offline_kmeans_cost_sse,cost_ratio_vs_offline_kmeans,charikar_ari,charikar_nmi,summary_size,memory_bytes,num_phases
42,33173.6488684537,33165.91148119635,1.0002332933699634,0.6197857833938066,0.7557796318744875,2115,186120,12
77,33172.027624721704,33165.46170930705,1.0001979744914213,0.6205270653089218,0.7561083408690107,2165,190520,12
211,33178.99633462525,33166.51264211475,1.0003763944869695,0.627479652868135,0.758883688677937,2184,192192,12
