seed,chunk_size,eps,c2,runtime_sec,memory,cost_sse,ari,nmi,quality,r,d,points_seen,avg_update_ms,cost_is_approx,stream_is_single_pass
42,1024,1.5,1.0,0.11253649999707704,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,10.826589998760028,False,False
77,1024,1.5,1.0,0.055458399998315144,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,5.044989999441896,False,False
211,1024,1.5,1.0,0.05415779999748338,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,4.964489999838406,False,False
42,1024,1.5,2.0,0.05680949999805307,1536.0,34223.881200061194,0.6315261702128262,0.7621003790545885,0.7621003790545885,8,10,10000,5.258360000880202,False,False
77,1024,1.5,2.0,0.04631589999917196,1536.0,33734.32537455583,0.6345915778471677,0.7587944369231661,0.7587944369231661,8,10,10000,4.212790000747191,False,False
211,1024,1.5,2.0,0.054393500002333894,1536.0,36291.37347043823,0.6098992504285717,0.7579475631042394,0.7579475631042394,8,10,10000,4.937039998912951,False,False
42,1024,1.5,3.0,0.08368640000117011,1744.0,33711.60156238232,0.6403590547753848,0.7659325699788908,0.7659325699788908,10,10,10000,7.8850499987311204,False,False
77,1024,1.5,3.0,0.05997729999944568,1744.0,34456.84073312974,0.5766870736508752,0.7367688373836847,0.7367688373836847,10,10,10000,5.573659999208758,False,False
211,1024,1.5,3.0,0.053004900000814814,1744.0,33374.97948337731,0.6308785030858555,0.76148296699889,0.76148296699889,10,10,10000,4.841639999358449,False,False
42,1024,2.5,1.0,0.05201600000145845,912.0,116259.40985695597,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,4.780639999080449,False,False
77,1024,2.5,1.0,0.0460592999952496,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,4.177390001132153,False,False
211,1024,2.5,1.0,0.0466214999978547,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,4.239080000843387,False,False
42,1024,2.5,2.0,0.05250820000219392,1016.0,34750.65152670763,0.6132209289521933,0.7496055413532995,0.7496055413532995,3,10,10000,4.797649999818532,False,False
77,1024,2.5,2.0,0.0476727999994182,1016.0,33364.22786462732,0.6335282527107347,0.7602645492549907,0.7602645492549907,3,10,10000,4.306300001189811,False,False
211,1024,2.5,2.0,0.053203199997369666,1016.0,38457.321001428914,0.6145604195259742,0.7694078457818037,0.7694078457818037,3,10,10000,4.8922300011327025,False,False
42,1024,2.5,3.0,0.06283979999716394,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,5.8112899991101585,False,False
77,1024,2.5,3.0,0.04893870000523748,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,4.479839999839896,False,False
211,1024,2.5,3.0,0.05046819999552099,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,4.5018599994364195,False,False
42,1024,3.5,1.0,0.07596000000194181,912.0,116259.40985695597,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,7.105370001954725,False,False
77,1024,3.5,1.0,0.05827750000025844,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,5.3998900002625305,False,False
211,1024,3.5,1.0,0.04820309999922756,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,4.396890000498388,False,False
42,1024,3.5,2.0,0.06666949999635108,912.0,116259.40985695597,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,6.202379999012919,False,False
77,1024,3.5,2.0,0.05838399999629473,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,5.333610001252964,False,False
211,1024,3.5,2.0,0.06171860000176821,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,5.6371800012129825,False,False
42,1024,3.5,3.0,0.07165030000032857,912.0,116259.40985695597,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,6.656320000183769,False,False
77,1024,3.5,3.0,0.050560800002131145,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,4.567759999190457,False,False
211,1024,3.5,3.0,0.049569099996006116,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,4.5315600000321865,False,False
