chunk_size,eps,c2,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,r_mean,r_std,avg_update_ms_mean,avg_update_ms_std,points_seen_mean,ari_mean,nmi_mean,quality_norm,runtime_norm,memory_norm,tradeoff_score
1024,2.5,2.0,0.09000989999913145,0.011555140667044642,1016.0,0.0,35524.066797587955,2633.1592832483648,0.7597593121300313,0.009910815485322976,3.0,0.0,8.380996667013582,1.1545699541197765,10000.0,0.620436533729634,0.7597593121300313,1.0,0.05007895164177114,0.125,0.4562302620895572
1024,2.5,3.0,0.10901663333546215,0.0025854434065944393,1120.0,0.0,36465.31564715283,2364.127580749303,0.735270777053214,0.021480330708249215,4.0,0.0,9.990636666528493,0.2870641629486076,10000.0,0.5850049104120251,0.735270777053214,0.849327047999832,0.20069247111985006,0.25,0.3119904062199535
1024,1.5,2.0,0.08596926666602182,0.0029508164927146015,1536.0,0.0,34749.860015018414,1357.2450134378098,0.7596141263606646,0.0021943992708320817,8.0,0.0,7.915333333464029,0.2924701849991296,10000.0,0.6253389994961885,0.7596141263606646,0.9991067016303637,0.018060087776468527,0.75,0.30753832887106475
1024,1.5,3.0,0.105878100002883,0.020523309611166933,1744.0,0.0,33847.80725962979,553.6424251274241,0.7547281247871552,0.015711516308117675,10.0,0.0,9.787399999671228,1.9613273544763925,10000.0,0.6159748771707051,0.7547281247871552,0.9690441324220058,0.1758220453157773,1.0,0.1905665548820586
1024,1.5,1.0,0.20988556666755662,0.22072707684333012,1120.0,0.0,36465.31564715283,2364.127580749303,0.735270777053214,0.021480330708249215,4.0,0.0,20.400853332830593,22.09057666737865,10000.0,0.5850049104120251,0.735270777053214,0.849327047999832,1.0,0.25,0.11216352399991603
1024,3.5,3.0,0.0836901666649889,0.007581124519239095,912.0,0.0,83347.61782487603,43681.96329307127,0.5972315674238012,0.13701994137867657,2.0,0.0,7.731360001101469,0.6760170461090246,10000.0,0.42839462498077213,0.5972315674238012,0.0,0.0,0.0,0.0
1024,3.5,1.0,0.08648009999888018,0.01623741775223502,912.0,0.0,83347.61782487603,43681.96329307127,0.5972315674238012,0.13701994137867657,2.0,0.0,7.961426667073586,1.4906550227485929,10000.0,0.42839462498077213,0.5972315674238012,0.0,0.022108043033537802,0.0,-0.0055270107583844505
1024,3.5,2.0,0.10474136666501484,0.005956440696182005,912.0,0.0,83347.61782487603,43681.96329307127,0.5972315674238012,0.13701994137867657,2.0,0.0,9.67965333305377,0.4698772211450249,10000.0,0.42839462498077213,0.5972315674238012,0.0,0.16681432127952056,0.0,-0.04170358031988014
1024,2.5,1.0,0.1093072333339175,0.00668220339169157,912.0,0.0,83347.61782487603,43681.96329307127,0.5972315674238012,0.13701994137867657,2.0,0.0,10.027279999970537,0.6669014064946829,10000.0,0.42839462498077213,0.5972315674238012,0.0,0.20299524918029788,0.0,-0.05074881229507447
