seed,charikar_cost_sse,offline_kmeans_cost_sse,cost_ratio_vs_offline_kmeans,charikar_ari,charikar_nmi,summary_size,memory_bytes,num_phases
42,33458.28081188274,33165.91148119635,1.0088153564195619,0.6321038613510246,0.7610410469317102,248,21824,2
77,33529.2308737133,33165.46170930705,1.0109683129876093,0.6296520023816696,0.7591137351347007,269,23672,2
211,35993.78020315594,33166.51264211474,1.0852446439439984,0.577008283917676,0.7341233540633267,245,21560,2
