init_facility,max_centers_factor,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,ari_mean,nmi_mean,opened_centers_mean,facility_final_mean,memory_mb_mean
0.25,4.0,2.306876400000268,0.22979118532353257,1168.0,110.85125168440814,411196.9479166667,1360.457370937441,1.0,0.0,1.0,1.0,24.333333333333332,16384.0,0.0011138916015625
0.25,8.0,1.3039928666667038,0.21750120889727906,2160.0,192.0,405269.5729166667,484.7709010423254,1.0,0.0,1.0,1.0,45.0,8192.0,0.0020599365234375
0.25,12.0,1.4724799666667725,0.050135597528096085,4048.0,55.42562584220407,403775.34375,234.46708399381458,1.0,0.0,1.0,1.0,84.33333333333333,4096.0,0.0038604736328125
0.5,4.0,0.7828069333333284,0.06276330406960967,1184.0,27.712812921102035,412355.9895833333,1345.761157160652,1.0,0.0,1.0,1.0,24.666666666666668,16384.0,0.001129150390625
0.5,8.0,1.0933570666666128,0.028278239928236203,2304.0,126.99606293110035,405263.7083333333,310.68061834396167,1.0,0.0,1.0,1.0,48.0,8192.0,0.002197265625
0.5,12.0,1.3641488333329714,0.0659798350716646,3984.0,126.99606293110035,403822.0625,602.8402363694195,1.0,0.0,1.0,1.0,83.0,4096.0,0.0037994384765625
1.0,4.0,0.7220737999999377,0.06382217444397024,1216.0,73.32121111929344,412986.9166666667,512.2783670286393,1.0,0.0,1.0,1.0,25.333333333333332,16384.0,0.00115966796875
1.0,8.0,1.0623931000000084,0.0036485259092665506,2128.0,168.5704600456438,406096.2291666667,1281.8015148112431,1.0,0.0,1.0,1.0,44.333333333333336,8192.0,0.0020294189453125
1.0,12.0,1.2588446333329557,0.031164990283169065,3952.0,99.91996797437437,404150.8541666667,215.6362889556932,1.0,0.0,1.0,1.0,82.33333333333333,4096.0,0.0037689208984375
