init_facility,phase_centers_factor,compress_to_factor,growth_factor,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,ari_mean,nmi_mean,points_seen_mean,opened_centers_final_state_mean,facility_final_mean,avg_update_ms_mean,num_phases_mean,num_compressions_mean,total_opened_events_mean,phase_max_centers_mean,compress_target_mean,quality_norm,runtime_norm,memory_norm,tradeoff_score
2.0,8.0,4.0,2.0,0.8333515333333708,0.028841336855685497,8288.0,193.98969044771425,812543.3203777545,593.8123619152468,1.0,0.0,1.0,1.0,10000.0,49.333333333333336,16384.0,0.08333515333333708,14.0,13.0,478.3333333333333,64.0,32.0,0.0,0.0,0.25,-0.0625
0.5,8.0,4.0,2.0,0.9301185000000866,0.058325481423530945,7952.0,793.9370252104383,810327.3986907451,581.1060665839957,1.0,0.0,1.0,1.0,10000.0,47.333333333333336,16384.0,0.09301185000000867,16.0,15.0,542.3333333333334,64.0,32.0,0.0,0.1522954919993383,0.20588235294117646,-0.08954446123512869
1.0,8.0,4.0,2.0,0.9361345666666239,0.04327786735761555,8400.0,444.48622025885123,811334.2525242219,695.2557345089195,1.0,0.0,1.0,1.0,10000.0,50.0,16384.0,0.09361345666666239,15.0,14.0,512.0,64.0,32.0,0.0,0.16176380401160545,0.2647058823529412,-0.10661742159113666
1.0,8.0,4.0,1.5,1.1122466666668818,0.09834066591605468,6384.0,732.2950225148331,806556.744212952,122.94236722706454,1.0,0.0,1.0,1.0,10000.0,38.0,11222.741464018822,0.11122466666668818,24.0,23.0,797.0,64.0,32.0,0.0,0.4389356513937079,0.0,-0.10973391284842697
2.0,8.0,4.0,1.5,1.0415211333332384,0.06841736394310541,8288.0,96.99484522385713,806918.9207746601,507.89289287831866,1.0,0.0,1.0,1.0,10000.0,49.333333333333336,9975.770190238953,0.10415211333332385,22.0,21.0,742.3333333333334,64.0,32.0,0.0,0.3276251467143491,0.25,-0.1444062866785873
2.0,8.0,6.0,2.0,0.988714766666817,0.026060338337119994,9352.0,513.2484778350541,825279.7752215866,2741.008820110485,1.0,0.0,1.0,1.0,10000.0,55.666666666666664,32768.0,0.09887147666668171,15.0,14.0,293.6666666666667,64.0,48.0,0.0,0.244516500559728,0.3897058823529412,-0.1585555957281673
1.0,12.0,4.0,2.0,0.9496035333331747,0.018385828048077833,10416.0,290.9845356715714,805763.6412067238,393.0768770962771,1.0,0.0,1.0,1.0,10000.0,62.0,8192.0,0.09496035333331747,14.0,13.0,907.0,96.0,32.0,0.0,0.18296177038240216,0.5294117647058824,-0.17809338377207112
0.5,8.0,4.0,1.5,1.1489303333337375,0.1096477475835089,8344.0,2280.926127694626,806232.36098615,723.8772826147334,1.0,0.0,1.0,1.0,10000.0,49.666666666666664,9819.898781016469,0.11489303333337375,25.333333333333332,24.333333333333332,852.6666666666666,64.0,32.0,0.0,0.4966697858386822,0.25735294117647056,-0.18850568175378818
2.0,12.0,4.0,2.0,0.9685765666672523,0.04214416957163283,10528.0,193.98969044771425,805267.0370389102,26.397398792383004,1.0,0.0,1.0,1.0,10000.0,62.666666666666664,8192.0,0.09685765666672523,13.0,12.0,842.6666666666666,96.0,32.0,0.0,0.21282224390830304,0.5441176470588235,-0.18923497274178164
0.5,8.0,6.0,2.0,1.0830278666671802,0.059421630124649696,9240.0,168.0,818517.374066267,302.03646069721106,1.0,0.0,1.0,1.0,10000.0,55.0,32768.0,0.10830278666671801,17.0,16.0,327.0,64.0,48.0,0.0,0.39295000489813153,0.375,-0.1919875012245329
1.0,8.0,6.0,2.0,1.131487233333246,0.04313776089335852,9352.0,793.9370252104383,822202.9846806531,1236.0056275665,1.0,0.0,1.0,1.0,10000.0,55.666666666666664,32768.0,0.1131487233333246,16.0,15.0,310.6666666666667,64.0,48.0,0.0,0.4692171789411442,0.3897058823529412,-0.21473076532352134
1.0,12.0,4.0,1.5,1.1797172666668605,0.02388568640613212,8792.0,349.7198879103103,802997.8886831583,302.7528169173312,1.0,0.0,1.0,1.0,10000.0,52.333333333333336,4987.885095119476,0.11797172666668605,22.0,21.0,1417.3333333333333,96.0,32.0,0.0,0.5451234195592434,0.3161764705882353,-0.21532497253686966
2.0,8.0,6.0,1.5,1.2373342666666456,0.010980357717849883,8512.0,513.2484778350541,813182.1403278382,1277.9951857198137,1.0,0.0,1.0,1.0,10000.0,50.666666666666664,22445.482928037643,0.12373342666666455,24.0,23.0,441.6666666666667,64.0,48.0,0.0,0.6358032214043843,0.27941176470588236,-0.22880374652756666
0.5,12.0,4.0,2.0,1.1239687333333375,0.032505004493760904,10360.0,1066.9432974624285,804946.0481987441,517.429222989921,1.0,0.0,1.0,1.0,10000.0,61.666666666666664,8192.0,0.11239687333333374,15.0,14.0,971.6666666666666,96.0,32.0,0.0,0.4573842808352564,0.5220588235294118,-0.24486077609116705
0.5,12.0,6.0,2.0,1.1576755333332283,0.026956273662315757,10472.0,3592.7393448453786,806613.0669310229,336.7484816279741,1.0,0.0,1.0,1.0,10000.0,62.333333333333336,13653.333333333334,0.11576755333332282,15.666666666666666,14.666666666666666,781.0,96.0,48.0,0.0,0.5104333105458504,0.5367647058823529,-0.26179950410705083
2.0,12.0,4.0,1.5,1.126541733333094,0.0446196123497477,11984.0,699.4397758206206,803016.891930139,322.1795289078124,1.0,0.0,1.0,1.0,10000.0,71.33333333333333,4433.675640106201,0.1126541733333094,20.0,19.0,1306.3333333333333,96.0,32.0,0.0,0.4614337650174655,0.7352941176470589,-0.2991819706661311
0.5,12.0,4.0,1.5,1.339699666666699,0.024243993525163838,9520.0,5725.161307771162,802604.3140743886,254.0878895508961,1.0,0.0,1.0,1.0,10000.0,56.666666666666664,4987.885095119476,0.13396996666666988,23.666666666666668,22.666666666666668,1530.0,96.0,32.0,0.0,0.7969097383670524,0.4117647058823529,-0.3021686110623513
1.0,12.0,6.0,1.5,1.4179228333332503,0.029431721689445512,8792.0,757.5539584742462,803658.9295365779,610.334002043471,1.0,0.0,1.0,1.0,10000.0,52.333333333333336,7481.8276426792145,0.14179228333332503,23.0,22.0,1130.3333333333333,96.0,48.0,0.0,0.9200203004068804,0.3161764705882353,-0.30904919274877896
0.5,8.0,6.0,1.5,1.3872729333337095,0.047728804995679275,9576.0,444.48622025885123,811879.8911318815,961.4661573630253,1.0,0.0,1.0,1.0,10000.0,57.0,18938.37622053176,0.13872729333337094,27.0,26.0,499.0,64.0,48.0,0.0,0.871782334901177,0.41911764705882354,-0.3227249954900001
1.0,12.0,6.0,2.0,1.1341706666662503,0.04421421749819393,13048.0,4323.620704918506,807142.5945722195,447.808623065268,1.0,0.0,1.0,1.0,10000.0,77.66666666666667,10922.666666666666,0.11341706666662503,14.333333333333334,13.333333333333334,731.0,96.0,48.0,0.0,0.47344046725713407,0.875,-0.3371101168142835
1.0,8.0,6.0,1.5,1.4255869666667422,0.07121515377334604,9912.0,1049.1596637309308,811947.1664045335,982.1112163523856,1.0,0.0,1.0,1.0,10000.0,59.0,19639.797562032938,0.14255869666667423,25.333333333333332,24.333333333333332,472.6666666666667,64.0,48.0,0.0,0.9320824017311142,0.4632352941176471,-0.3488294239621903
