chunk_size,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,ari_mean,ari_std,nmi_mean,nmi_std,summary_points_mean,levels_used_mean,avg_update_ms_mean,points_seen_mean
512,4.698592866664209,0.06640393734803238,8448.0,0.0,170582.50274985086,1454.1771613952828,0.7498349785342683,0.010081180174662358,0.6124536971919131,0.019777756321950286,0.7498349785342683,0.010081180174662358,96.0,3.0,47.74075680287918,50000.0
1024,2.3779718999988595,0.01232588743311473,8448.0,0.0,169074.2760664159,866.7563644947797,0.7490788937566495,0.0055686161322348535,0.6092453885780165,0.010782732728891634,0.7490788937566495,0.0055686161322348535,96.0,3.0,48.114504081129375,50000.0
2048,1.3561632999965998,0.05080726568628645,8448.0,0.0,168144.92207956305,488.0166211851941,0.7536925835849896,0.004038756020360374,0.6186319992877353,0.0075559527501278,0.7536925835849896,0.004038756020360374,96.0,3.0,53.432669333706144,50000.0
4096,0.7129472666686828,0.013614137579381727,8448.0,0.0,168048.782446734,580.7259139698258,0.7528021710464289,0.008859211320780302,0.6177704487136005,0.017934968381537193,0.7528021710464289,0.008859211320780302,96.0,3.0,53.29321538328002,50000.0
8192,0.3781362333344684,0.01915013967651936,8448.0,0.0,167986.11143511286,264.11420878010875,0.7503273391720754,0.001986940417396297,0.6127246245342002,0.0035507222407755255,0.7503273391720754,0.001986940417396297,96.0,3.0,51.60992856967607,50000.0
