seed,n,d,k,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,5000,10,8,4096,2.0,0.4003145000024233,2816.0,16746.621745492273,0.5977833287475818,0.744194906951905,0.744194906951905,32,32,1,5000,188.7937499996042
77,5000,10,8,4096,2.0,0.10861999999906402,2816.0,16508.043325132945,0.6205819962674348,0.7571421712182531,0.7571421712182531,32,32,1,5000,41.87839999576681
211,5000,10,8,4096,2.0,0.1036543999944115,2816.0,16425.120337645538,0.6032202221565931,0.7477239534764804,0.7477239534764804,32,32,1,5000,39.53479999836418
42,10000,10,8,4096,2.0,0.14336220000404865,5632.0,33970.04364128722,0.6368254987101688,0.7638465799692054,0.7638465799692054,64,32,2,10000,39.96303333406104
77,10000,10,8,4096,2.0,0.13361910000094213,5632.0,33982.242602537386,0.6243728371729225,0.7587546762512527,0.7587546762512527,64,32,2,10000,36.90786666508453
211,10000,10,8,4096,2.0,0.13601399999606656,5632.0,33578.52223383906,0.6410566005949248,0.765565609353769,0.765565609353769,64,32,2,10000,34.71833333120836
42,25000,10,8,4096,2.0,0.45778750000317814,8448.0,84791.04648839233,0.6402043776323252,0.7658548025146925,0.7658548025146925,96,32,3,25000,60.29401428531855
77,25000,10,8,4096,2.0,0.33058140000503045,8448.0,84388.93621019994,0.6095063310578588,0.7500390588926183,0.7500390588926183,96,32,3,25000,44.56455714119199
211,25000,10,8,4096,2.0,0.31394530000397936,8448.0,84429.91166008115,0.6045354273800821,0.7477979726216102,0.7477979726216102,96,32,3,25000,42.344785715353545
42,50000,10,8,4096,2.0,0.7041809000002104,8448.0,167382.38622748712,0.6129631507065836,0.7505241160175857,0.7505241160175857,96,32,3,50000,52.69414615367378
77,50000,10,8,4096,2.0,0.6689895999952569,8448.0,168446.63074109188,0.6376191688046837,0.7625779499287209,0.7625779499287209,96,32,3,50000,50.030300000239194
211,50000,10,8,4096,2.0,0.6994242000000668,8448.0,168317.330371623,0.6027290266295342,0.7453044471929797,0.7453044471929797,96,32,3,50000,52.40897692307884
42,100000,10,8,4096,2.0,1.3849887999967905,8448.0,348321.09510059335,0.5920463082499565,0.7445184632772535,0.7445184632772535,96,32,3,100000,54.5549479991314
77,100000,10,8,4096,2.0,1.4387069000003976,8448.0,334824.3098293245,0.5989807936941084,0.7439737025168317,0.7439737025168317,96,32,3,100000,56.76067199994577
211,100000,10,8,4096,2.0,1.4004875999962678,8448.0,335287.7425759805,0.6383668532391877,0.7630962261802074,0.7630962261802074,96,32,3,100000,55.28271199989831
