n,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,ari_mean,ari_std,nmi_mean,nmi_std,summary_points_mean,levels_used_mean,avg_update_ms_mean,points_seen_mean
5000,0.20419629999863295,0.16986148938295753,2816.0,0.0,16559.928469423587,166.91267165917577,0.7496870105488794,0.006693138859891179,0.6071951823905365,0.011907772328033257,0.7496870105488794,0.006693138859891179,32.0,1.0,90.06898333124506,5000.0
10000,0.13766510000035245,0.005077065868762017,5632.0,0.0,33843.60282588789,229.6475427140771,0.7627222885247423,0.0035419240351548787,0.6340849788260053,0.008672936492731684,0.7627222885247423,0.0035419240351548787,64.0,2.0,37.19641111011798,10000.0
25000,0.3674380666707293,0.07868579943949355,8448.0,0.0,84536.63145289115,221.28037551948526,0.754563944676307,0.009842165410289523,0.6180820453567554,0.019319049143953014,0.754563944676307,0.009842165410289523,96.0,3.0,49.0677857139547,25000.0
50000,0.6908648999985113,0.01909327398318923,8448.0,0.0,168048.782446734,580.7259139698225,0.7528021710464289,0.008859211320780302,0.6177704487136005,0.017934968381537193,0.7528021710464289,0.008859211320780302,96.0,3.0,51.71114102566394,50000.0
100000,1.4080610999978187,0.02764827288827462,8448.0,0.0,339477.7158352994,7662.095672858734,0.7505294639914308,0.010886543299113498,0.6097979850610842,0.024983133186755865,0.7505294639914308,0.010886543299113498,96.0,3.0,55.53277733299183,100000.0
