seed,chunk_size,coreset_factor,repeat_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_size,max_chunk_summary_size,avg_update_ms,coreset_per_round,repetitions
42,1024,1.0,0.75,0.4034637000004295,11520.0,632124.375,0.9995429029826352,0.9992846394912983,0.9992846394912983,240,24,40.268390001074295,3,7
77,1024,1.0,0.75,0.4488887000006798,11472.0,923655.25,0.8791275818723026,0.9346554593667367,0.9346554593667367,239,24,44.84529000001203,3,7
211,1024,1.0,0.75,0.5130567999985942,11520.0,846406.375,0.8399477622610928,0.9375215440161025,0.9375215440161025,240,24,51.228319999427185,3,7
42,1024,1.0,1.0,0.6186535000015283,11424.0,948273.0625,0.885783163751154,0.9330145441995394,0.9330145441995394,238,24,61.81761999905575,3,10
77,1024,1.0,1.0,0.5503396999993129,11472.0,1343763.375,0.6796006252634837,0.8424069691367887,0.8424069691367887,239,24,54.9879600006534,3,10
211,1024,1.0,1.0,0.5432649999966088,11520.0,873896.75,0.8398584584573244,0.9379490897463436,0.9379490897463436,240,24,54.28219999994326,3,10
42,1024,1.0,1.5,0.7279839999973774,11520.0,752908.5625,0.9970299803446139,0.99568729398259,0.99568729398259,240,24,72.74270999987493,3,14
77,1024,1.0,1.5,0.7878139999993437,11472.0,1065081.75,0.8314808756297981,0.9174942942422728,0.9174942942422728,239,24,78.74144000052183,3,14
211,1024,1.0,1.5,0.7441240999978618,11472.0,892582.0625,0.8659275931861818,0.9508237473852995,0.9508237473852995,239,24,74.36112000068533,3,14
42,1024,1.5,0.75,0.6074254999984987,15360.0,894371.75,0.8449012249669938,0.9404055412043628,0.9404055412043628,320,32,60.69041000009747,4,7
77,1024,1.5,0.75,0.6987030000018422,15360.0,963704.1875,0.8352956592804075,0.9342029423523576,0.9342029423523576,320,32,69.77453000035894,4,7
211,1024,1.5,0.75,0.933253600000171,15360.0,1663348.375,0.6787851894875543,0.8179870070774196,0.8179870070774196,320,32,93.0799499994464,4,7
42,1024,1.5,1.0,1.9735590999989654,15312.0,903291.6875,0.8901998044925401,0.9436304905020019,0.9436304905020019,319,32,197.20869999982824,4,10
77,1024,1.5,1.0,1.753389999998035,15360.0,697665.0,0.9995429029826352,0.9992846394912983,0.9992846394912983,320,32,175.19755000066652,4,10
211,1024,1.5,1.0,1.7062675999986823,15360.0,1039097.0,0.7096982737544528,0.8606723794631679,0.8606723794631679,320,32,170.49212000056286,4,10
42,1024,1.5,1.5,2.5570451999992656,15360.0,842418.5,0.8400410271786672,0.9369635237634005,0.9369635237634005,320,32,255.57137999967384,4,14
77,1024,1.5,1.5,2.4263210000026447,15360.0,602441.75,0.9995427199346688,0.9992179728188103,0.9992179728188103,320,32,242.46888000016042,4,14
211,1024,1.5,1.5,2.4439232000004267,15360.0,750615.375,0.9972631058403945,0.9963254789058394,0.9963254789058394,320,32,244.25039000016113,4,14
42,1024,2.0,0.75,1.7440138999991177,19200.0,994106.75,0.8199439586264772,0.896041477157349,0.896041477157349,400,40,174.252179999894,5,7
77,1024,2.0,0.75,1.6663471000028949,19200.0,991797.5,0.8502324520395992,0.932836977418464,0.932836977418464,400,40,166.56914000050165,5,7
211,1024,2.0,0.75,1.5886970999999903,19152.0,916674.5,0.854901111003144,0.9416375376406686,0.9416375376406686,399,40,158.73469000034675,5,7
42,1024,2.0,1.0,2.4494478999986313,19200.0,900277.6875,0.8431647113818646,0.9377117723940857,0.9377117723940857,400,40,244.71562999970047,5,10
77,1024,2.0,1.0,2.3071694999998726,19200.0,1337413.625,0.6875305858842053,0.8218048965417684,0.8218048965417684,400,40,230.58334000015748,5,10
211,1024,2.0,1.0,2.2926941999976407,19152.0,2078637.875,0.5275335448544031,0.7263275865032319,0.7263275865032319,399,40,229.18522999971174,5,10
42,1024,2.0,1.5,3.613636199999746,19200.0,1238942.75,0.8054884681602414,0.8970479486597022,0.8970479486597022,400,40,361.1862099998689,5,14
77,1024,2.0,1.5,3.395843900001637,19200.0,1224158.75,0.7200664959667303,0.8496476148827437,0.8496476148827437,400,40,339.5096600001125,5,14
211,1024,2.0,1.5,3.310889099997439,19152.0,854407.5,0.8337648403870899,0.9303235103551892,0.9303235103551892,399,40,330.91759999952046,5,14
