seed,chunk_size,eps,c2,runtime_sec,memory,cost_sse,ari,nmi,quality,r,d,points_seen,avg_update_ms,cost_is_approx,stream_is_single_pass
42,1024,1.5,1.0,0.07937439999659546,1120.0,38569.60434720152,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,7.41920999425929,False,False
77,1024,1.5,1.0,0.018482299987226725,1120.0,36919.184781470365,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,1.2769800028763711,False,False
211,1024,1.5,1.0,0.028931700013345107,1120.0,33907.157826324794,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,1.8137400009436533,False,False
42,1024,1.5,2.0,0.02047450002282858,1536.0,34223.88114142987,0.6315261702128262,0.7621003790545885,0.7621003790545885,8,10,10000,1.4456699980655685,False,False
77,1024,1.5,2.0,0.02791930001694709,1536.0,33734.325352219836,0.6345915778471677,0.7587944369231661,0.7587944369231661,8,10,10000,1.7078700009733438,False,False
211,1024,1.5,2.0,0.02119879997917451,1536.0,36291.373139114934,0.6098992504285717,0.7579475631042394,0.7579475631042394,8,10,10000,1.571850004256703,False,False
42,1024,1.5,3.0,0.016556700022192672,1744.0,33711.601312743485,0.6403590547753848,0.7659325699788908,0.7659325699788908,10,10,10000,1.2841399962780997,False,False
77,1024,1.5,3.0,0.018684900016523898,1744.0,34456.840870899454,0.5766870736508752,0.7367688373836847,0.7367688373836847,10,10,10000,1.0471000015968457,False,False
211,1024,1.5,3.0,0.012308300007134676,1744.0,33374.97927885583,0.6308785030858555,0.76148296699889,0.76148296699889,10,10,10000,0.9293200011597946,False,False
42,1024,2.5,1.0,0.014751499984413385,912.0,116259.4089263248,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,1.1315799900330603,False,False
77,1024,2.5,1.0,0.01002909999806434,912.0,99993.44934333579,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,0.5519900005310774,False,False
211,1024,2.5,1.0,0.011758800013922155,912.0,33789.99415049632,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,0.8093700016615912,False,False
42,1024,2.5,2.0,0.015045000007376075,1016.0,34750.651943127916,0.6132209289521933,0.7496055413532995,0.7496055413532995,3,10,10000,1.10953998810146,False,False
77,1024,2.5,2.0,0.013832900003762916,1016.0,33364.227904222615,0.6335282527107347,0.7602645492549907,0.7602645492549907,3,10,10000,0.8702399965841323,False,False
211,1024,2.5,2.0,0.014606899989303201,1016.0,38457.32108789903,0.6145604195259742,0.7694078457818037,0.7694078457818037,3,10,10000,1.0186200001044199,False,False
42,1024,2.5,3.0,0.013008000008994713,1120.0,38569.60434720152,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,0.7087500009220093,False,False
77,1024,2.5,3.0,0.008571699989261106,1120.0,36919.184781470365,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,0.5588500003796071,False,False
211,1024,2.5,3.0,0.014227000006940216,1120.0,33907.157826324794,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,1.10706000123173,False,False
42,1024,3.5,1.0,0.012881999980891123,912.0,116259.4089263248,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,0.9408699959749356,False,False
77,1024,3.5,1.0,0.01771400001598522,912.0,99993.44934333579,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,1.0704500047722831,False,False
211,1024,3.5,1.0,0.016808499989565462,912.0,33789.99415049632,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,1.2305300100706518,False,False
42,1024,3.5,2.0,0.024014199996599928,912.0,116259.4089263248,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,1.5289600036339834,False,False
77,1024,3.5,2.0,0.03549589999602176,912.0,99993.44934333579,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,2.2818799945525825,False,False
211,1024,3.5,2.0,0.025878799991915002,912.0,33789.99415049632,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,1.7830100026912987,False,False
42,1024,3.5,3.0,0.03316379999159835,912.0,116259.4089263248,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,2.390850000665523,False,False
77,1024,3.5,3.0,0.034618199977558106,912.0,99993.44934333579,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,2.480680006556213,False,False
211,1024,3.5,3.0,0.028682999982265756,912.0,33789.99415049632,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,2.066090007429011,False,False
