seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,4096,1.0,0.1897591999731958,5632.0,22664.2500979683,0.4702499885577244,0.6903917467531577,0.6903917467531577,64,32,2,10000,58.90650000461998
77,4096,1.0,0.19036370000685565,5632.0,21934.622903421332,0.47302677103951823,0.6962259590987652,0.6962259590987652,64,32,2,10000,56.7137333273422
211,4096,1.0,0.10244220000458881,5632.0,21951.38453495394,0.4604967665759956,0.6967260723835922,0.6967260723835922,64,32,2,10000,29.00940000351208
42,4096,2.0,0.12863939997623675,5632.0,22664.2500979683,0.4702499885577244,0.6903917467531577,0.6903917467531577,64,32,2,10000,36.40676667176498
77,4096,2.0,0.1550654000020586,5632.0,21934.622903421332,0.47302677103951823,0.6962259590987652,0.6962259590987652,64,32,2,10000,45.02153334518274
211,4096,2.0,0.12200920001487248,5632.0,21951.38453495394,0.4604967665759956,0.6967260723835922,0.6967260723835922,64,32,2,10000,34.580666659167036
42,4096,3.0,0.2899524999957066,7392.0,22518.941685502374,0.4671066609349338,0.6996066510301147,0.6996066510301147,84,42,2,10000,89.55133332832095
77,4096,3.0,0.09999230000539683,7392.0,21878.944361042577,0.45615226680293974,0.6960255402303731,0.6960255402303731,84,42,2,10000,30.13259999958488
211,4096,3.0,0.13967590001993813,7392.0,21637.415876099003,0.45645111545104744,0.6976070218089052,0.6976070218089052,84,42,2,10000,31.784866674570367
42,4096,4.0,0.13670520001323894,9856.0,21793.947644045067,0.4740658697310505,0.6937543210554561,0.6937543210554561,112,56,2,10000,40.48580000138221
77,4096,4.0,0.17165860001114197,9856.0,22855.606256270814,0.49454523631121766,0.6939196307370946,0.6939196307370946,112,56,2,10000,50.737866666167974
211,4096,4.0,0.11159859999315813,9856.0,21569.517289632255,0.4523517198123407,0.6883226497351916,0.6883226497351916,112,56,2,10000,32.694666675524786
42,4096,5.0,0.1833069999993313,12320.0,21862.225219676195,0.46342568676709106,0.6880749326420301,0.6880749326420301,140,70,2,10000,54.33603333464513
77,4096,5.0,0.19357259999378584,12320.0,20811.134161301845,0.45651325366595286,0.6920970409508409,0.6920970409508409,140,70,2,10000,56.1821666584971
211,4096,5.0,0.13392029999522492,12320.0,21127.636229750737,0.4559507272882973,0.6923847401422393,0.6923847401422393,140,70,2,10000,42.053366671704374
