seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms,state_bytes
1,64,1.0,1.2906772000715137,1792.0,1109.7623357480256,1.0,1.0,1.0,32,32,1,200,313.8367749634199,1792
2,64,1.0,0.23365950002335012,1792.0,1109.762335748021,1.0,1.0,1.0,32,32,1,200,50.814649963285774,1792
1,64,2.0,0.26705630007199943,1792.0,1109.7623357480256,1.0,1.0,1.0,32,32,1,200,58.126374962739646,1792
2,64,2.0,0.22143010003492236,1792.0,1109.762335748021,1.0,1.0,1.0,32,32,1,200,47.51277499599382,1792
1,64,3.0,0.23811410018242896,1792.0,1109.7623357480256,1.0,1.0,1.0,32,32,1,200,51.86947504989803,1792
2,64,3.0,0.27203339990228415,1792.0,1109.762335748021,1.0,1.0,1.0,32,32,1,200,59.35092497384176,1792
