seed,chunk_size,beta,gamma,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,dimension,num_phases,final_summary_size,final_lower_bound,avg_update_ms
1,64,5.0,20.0,1.3555453999433666,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,1.6255799740674142,6.777726999716833
2,64,5.0,20.0,0.22444540006108582,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,1.6255799740674142,1.122227000305429
1,64,5.0,50.0,0.23003360000438988,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,1.6255799740674142,1.1501680000219494
2,64,5.0,50.0,0.22459009988233447,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,1.6255799740674142,1.1229504994116724
1,64,10.0,20.0,0.22377090016379952,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,0.8127899870337071,1.1188545008189976
2,64,10.0,20.0,0.23024720000103116,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,0.8127899870337071,1.1512360000051558
1,64,10.0,50.0,0.24673220003023744,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,0.8127899870337071,1.2336610001511872
2,64,10.0,50.0,0.23657829989679158,11200.0,1109.7623357480143,1.0,1.0,1.0,200,6,1,200,0.8127899870337071,1.1828914994839579
