algorithm,ari_mean,ari_std,cost_ratio_vs_kmeans_mean,cost_ratio_vs_kmeans_std,cost_sse_mean,cost_sse_std,explanation_en,memory_mean,memory_std,nmi_mean,nmi_std,num_runs,quality_loss_pct_mean,quality_loss_pct_std,rank,runtime_sec_mean,runtime_sec_std,speedup_vs_kmeans,tradeoff_quality_loss_pct,tradeoff_score
KMeans(sk),0.65568,0.31857,1.0,0.0,1076930.21084,1147109.00344,"NMI/runtime/memory tradeoff qloss: 27.66% (0% is best). Mean NMI=0.7351, speedup vs kmeans=1.00x, mean memory=2863591.11.",2863591.11111,3288255.6382,0.73514,0.27767,27.0,0.0,0.0,2.0,0.19862,0.18425,1.0,27.65674,0.22032
[Ailon2009] Streaming k-means,0.55084,0.32306,1.81641,0.57129,2163849.81595,2776286.93046,"NMI/runtime/memory tradeoff qloss: 44.93% (0% is best). Mean NMI=0.6575, speedup vs kmeans=0.31x, mean memory=12206.81.",12206.81481,9570.99816,0.65752,0.3199,27.0,81.64126,57.12908,4.0,0.63581,0.57768,0.31239,44.92895,0.0476
[Boutsidis2014] RandomProj Streaming,0.56966,0.33572,1.08754,0.14657,1204116.17528,1362540.50559,"NMI/runtime/memory tradeoff qloss: 49.69% (0% is best). Mean NMI=0.6482, speedup vs kmeans=1.39x, mean memory=3489.78.",3489.77777,2228.33372,0.64816,0.33478,27.0,8.7543,14.65751,5.0,0.1425,0.14611,1.3938,49.68942,0.0
[Charikar2003] PLS KMeans,0.65667,0.34447,0.97851,0.06084,1023781.18267,1057528.88556,"NMI/runtime/memory tradeoff qloss: 31.08% (0% is best). Mean NMI=0.7327, speedup vs kmeans=0.00x, mean memory=250007.70.",250007.7037,247757.41857,0.73273,0.28937,27.0,-2.14877,6.08498,3.0,53.89819,42.37843,0.00368,31.08444,0.18604
[Guha2002] Streaming k-means,0.66778,0.33959,0.98083,0.06856,1017045.27923,1049974.43353,"NMI/runtime/memory tradeoff qloss: 0.00% (0% is best). Mean NMI=0.7406, speedup vs kmeans=0.31x, mean memory=12003.56.",12003.55555,13128.45456,0.74057,0.28486,27.0,-1.9161,6.85649,1.0,0.65029,0.52953,0.30544,0.0,0.49689
